Field_No_,Latitude,Longitude,UTM_E,UTM_N,Location_Area,Stratigraphy,Al_per,Ca_per,Fe_per,K_per,Mg_per,P_per,S_per,SO3_from_S,pct_alunite_from_SO3,pct_alunite_from_K2O,Si_per,Ti_per,Ag_ppm,As_ppm,B_ppm,Ba_ppm,Be_ppm,Bi_ppm,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Ho_ppm,In_ppm,La_ppm,Li_ppm,Lu_ppm,Mn_ppm,Mo_ppm,Nb_ppm,Nd_ppm,Ni_ppm,Pb_ppm,Pr_ppm,Rb_ppm,Re_ppm,Sb_ppm,Sc_ppm,Se_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm,S_per_1,Al2O3_per,BaO_per,CaO_per,Cr2O3_per,Fe2O3_per,K2O_per,LOI_per,MgO_per,MnO_per,Na2O_per,P2O5_per,SiO2_per,SrO_per,TiO2_per,V2O5_per
Al25TB067,38.048859,-113.659771,266614.8944,4214575.488,PV,"Rhyolite tuffs and related clastic deposits, undivided",8.02,0.1,1.2,3.5,0.02,0.06,6.23,15.6,40.2,36.1,25.6,0.28,-1,-5,-10,273,-5,0.1,-0.2,64.7,-0.5,29,-0.1,-10,0.72,0.51,0.31,17,0.96,-1,4,0.14,-0.2,38.5,-10,0.1,-10,-2,11,20.6,11,11,6.66,25.2,-0.02,0.2,10,-1,2,1,739,0.8,0.12,-0.05,13.4,-0.5,0.08,2.98,79,-1,4,0.6,-5,140,,15.48,0.04,0.1,-0.01,1.72,4.11,19.562,0.04,-0.01,0.22,0.13,55,0.09,0.5,-0.01
Al25TB068,38.048538,-113.659992,266594.4737,4214540.398,PV,"Rhyolite tuffs and related clastic deposits, undivided",6.64,0.1,0.35,2.5,-0.01,0.08,5.15,12.9,33.3,24.5,29.8,0.3,-1,-5,-10,1334,-5,-0.1,-0.2,69.9,-0.5,16,0.1,-10,0.64,0.52,0.24,16,0.79,-1,4,0.14,-0.2,35.6,-10,0.11,-10,4,10,22.8,-5,8,7.67,24.2,-0.02,0.3,-5,-1,1.9,1,597,0.7,0.1,-0.05,13.3,-0.5,0.09,2.82,47,2,3.9,0.6,-5,149,,12.44,0.15,0.16,-0.01,0.51,2.78,17.9964,-0.01,-0.01,0.45,0.19,63.88,0.07,0.51,-0.01
Al25TB069,38.052986,-113.658506,266738.9986,4215030.344,PV,"Rhyolite tuffs and related clastic deposits, undivided",11.36,0.4,0.04,5.1,0.04,0.03,8.99,22.4,58.1,51.8,18,0.04,-1,-5,-10,175,-5,0.6,-0.2,82.1,-0.5,11,0.3,-10,3.14,3.49,0.08,29,1.2,-1,6,0.85,-0.2,57.7,-10,0.84,24,-2,62,9.8,-5,42,5.34,54.3,-0.02,0.6,6,-1,1,9,203,6.2,0.34,-0.05,62.9,-0.5,0.69,6.49,26,4,22.6,5.5,13,108,,21.85,0.03,0.64,-0.01,0.05,5.89,27.7128,0.07,-0.01,0.29,0.06,38.57,0.03,0.06,0.01
Al25TB070,38.053219,-113.657907,266792.3277,4215054.685,PV,"Rhyolite tuffs and related clastic deposits, undivided",6.8,-0.1,0.03,3.1,-0.01,0.04,5.12,12.8,33.1,31.2,>30.0,0.11,-1,-5,-10,302,-5,0.5,-0.2,54.5,-0.5,12,0.3,-10,5.31,4.2,0.16,24,3.66,-1,8,1.17,-0.2,34.9,-10,0.78,23,2,70,13.6,-5,62,4.63,22.7,-0.02,0.6,-5,-1,3.3,9,228,6.3,0.7,-0.05,34.6,-0.5,0.71,6.74,21,4,37.1,5.3,-5,162,,13.02,0.04,0.06,-0.01,0.04,3.55,17.2931,0.02,-0.01,0.09,0.09,63.81,0.03,0.2,-0.01
Al25TB071,38.052741,-113.65752,266824.8145,4215000.717,PV,"Rhyolite tuffs and related clastic deposits, undivided",9.68,-0.1,0.04,4.3,-0.01,0.08,7.44,18.6,48.1,43.4,22.6,0.19,-1,11,-10,644,-5,0.2,-0.2,309,-0.5,45,0.2,-10,3.01,2.34,0.66,21,4.06,-1,6,0.68,-0.2,115,-10,0.49,15,4,27,98.1,-5,43,33.4,20.2,-0.02,0.6,6,-1,12.2,4,895,2,0.49,-0.05,39,-0.5,0.42,5.68,40,2,17.9,3.2,-5,176,,18.77,0.08,0.11,-0.01,0.05,4.94,23.2377,0.02,0.01,0.2,0.18,48.17,0.1,0.33,-0.01
Al25TB072,38.052054,-113.658362,266748.7328,4214926.494,PV,"Rhyolite tuffs and related clastic deposits, undivided",6.47,-0.1,0.04,2.9,0.01,0.04,4.75,11.9,30.7,28.2,>30.0,0.14,-1,5,-10,297,-5,0.4,-0.2,69.6,-0.5,10,0.2,-10,2.37,2.13,0.14,20,1.6,-1,5,0.61,-0.2,45.4,-10,0.44,51,-2,43,14.6,6,56,5.74,20.7,-0.02,0.6,-5,-1,2.1,5,288,3.3,0.33,-0.05,27.6,-0.5,0.37,4.57,20,2,16.7,2.8,-5,140,,12.19,0.04,0.11,-0.01,0.05,3.21,16.51,0.02,-0.01,0.14,0.1,66.69,0.03,0.24,-0.01
Al25AR090,38.061081,-113.695586,263511.0731,4216022.555,Typhoid Spring area,"Rhyolite tuffs and related clastic deposits, undivided",0.73,0.3,0.09,0.3,0.05,0.02,0.01,0,0.1,2.2,>30.0,0.46,-1,-5,11,141,-5,0.1,-0.2,12.5,-0.5,21,0.7,-10,0.94,0.84,0.15,2,0.7,-1,6,0.22,-0.2,8,-10,0.17,16,-2,15,5,-5,31,1.39,9.8,-0.02,0.8,-5,-1,0.9,1,85,0.9,0.12,-0.05,10.9,-0.5,0.13,4,16,8,6.8,0.9,-5,230,,1.34,0.03,0.27,-0.01,0.11,0.25,2.63026,0.07,-0.01,0.04,0.04,94.71,-0.01,0.76,-0.01
Al25AR091,38.060188,-113.69543,263521.8597,4215923.076,Typhoid Spring area,Lund Formation,7.9,0.2,1.16,3.5,0.01,0.17,5.79,14.5,37.4,36.1,24,0.33,-1,7,-10,1250,-5,-0.1,-0.2,195,-0.5,89,0.5,-10,1.98,1.31,0.8,43,3.36,-1,9,0.38,-0.2,140,-10,0.23,-10,2,17,42.9,10,28,16.34,5.5,-0.02,0.5,5,-1,5.7,-1,748,1.1,0.41,-0.05,45.5,-0.5,0.21,12.12,137,2,11,1.6,-5,337,,15.13,0.15,0.11,0.01,1.68,4.1,23.263,0.01,0.01,0.12,0.42,52.54,0.09,0.56,0.02
Al25AR092,38.061051,-113.692915,263745.3683,4216012.366,Typhoid Spring area,"Rhyolite tuffs and related clastic deposits, undivided",0.24,0.2,0.04,0.1,-0.01,-0.01,0.02,0,0.1,0.6,>30.0,0.33,-1,-5,-10,625,-5,0.2,-0.2,6.4,-0.5,18,0.2,-10,0.98,0.85,-0.05,-1,0.65,2,9,0.23,-0.2,2.7,36,0.16,-10,4,19,2.3,-5,7,0.64,4.1,-0.02,0.5,-5,-1,0.5,2,15,1,0.13,-0.05,10.7,-0.5,0.14,4.38,8,2,7,1.1,-5,346,,0.45,0.07,0.16,-0.01,0.05,0.07,1.17988,-0.01,-0.01,0.04,-0.01,98.27,0.02,0.54,-0.01
Al25AR093,38.059669,-113.692952,263737.6293,4215859.163,Typhoid Spring area,Lund Formation,6.27,0.1,2.06,2.6,0.01,0.07,4.32,10.8,27.9,26.2,29.3,0.39,-1,-5,12,1088,-5,-0.1,-0.2,67.3,0.5,14,0.5,-10,1.52,1.1,0.57,17,2.21,-1,11,0.31,-0.2,42.1,-10,0.22,16,3,20,26.9,9,26,7.82,4.2,-0.02,0.6,8,-1,4.1,1,234,1.2,0.27,-0.05,40.6,-0.5,0.17,5.41,32,2,9,1.4,6,386,,11.53,0.12,0.1,-0.01,2.87,2.98,17.7647,-0.01,-0.01,0.13,0.15,62.58,0.02,0.65,-0.01
